,Unnamed: 0_x,ZIPCODE,CUISINECODE,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,Unnamed: 0_y,geocode
170341,315246,10002,47.0,10B,20.0,,,1,"(40.7135097, -73.9859414)"
170342,315248,10002,20.0,08C,26.0,,,1,"(40.7135097, -73.9859414)"
170343,315500,10002,20.0,99B,26.0,,,1,"(40.7135097, -73.9859414)"
170344,316129,10002,47.0,04A,34.0,,,1,"(40.7135097, -73.9859414)"
170345,316130,10002,47.0,04N,12.0,A,2011-12-06 00:00:00,1,"(40.7135097, -73.9859414)"
170346,316131,10002,47.0,09C,4.0,A,2012-05-17 00:00:00,1,"(40.7135097, -73.9859414)"
170347,316132,10002,47.0,10F,4.0,A,2012-05-17 00:00:00,1,"(40.7135097, -73.9859414)"
170348,316134,10002,20.0,04L,26.0,,,1,"(40.7135097, -73.9859414)"
170349,316135,10002,20.0,02G,14.0,B,2010-08-16 00:00:00,1,"(40.7135097, -73.9859414)"
170350,316136,10002,20.0,02B,19.0,,,1,"(40.7135097, -73.9859414)"
170351,316137,10002,20.0,02G,24.0,B,2011-03-10 00:00:00,1,"(40.7135097, -73.9859414)"
170352,316725,10002,28.0,06E,20.0,,,1,"(40.7135097, -73.9859414)"
170353,316726,10002,28.0,02B,51.0,,,1,"(40.7135097, -73.9859414)"
170354,316727,10002,28.0,08A,51.0,,,1,"(40.7135097, -73.9859414)"
170355,316728,10002,28.0,08A,23.0,,,1,"(40.7135097, -73.9859414)"
170356,316844,10002,47.0,04H,34.0,,,1,"(40.7135097, -73.9859414)"
170357,316845,10002,47.0,10F,26.0,,,1,"(40.7135097, -73.9859414)"
170358,316955,10002,20.0,06F,17.0,,,1,"(40.7135097, -73.9859414)"
170359,316956,10002,20.0,04M,9.0,P,2012-07-23 00:00:00,1,"(40.7135097, -73.9859414)"
170360,316957,10002,20.0,08A,9.0,P,2012-07-23 00:00:00,1,"(40.7135097, -73.9859414)"
170361,316958,10002,20.0,04L,18.0,,,1,"(40.7135097, -73.9859414)"
170362,316959,10002,20.0,06D,18.0,,,1,"(40.7135097, -73.9859414)"
170363,316960,10002,20.0,04A,38.0,,,1,"(40.7135097, -73.9859414)"
170364,317021,10002,20.0,02G,26.0,,,1,"(40.7135097, -73.9859414)"
170365,317022,10002,20.0,06C,24.0,B,2011-03-10 00:00:00,1,"(40.7135097, -73.9859414)"
170366,317093,10002,28.0,10F,9.0,B,2010-09-27 00:00:00,1,"(40.7135097, -73.9859414)"
170367,317094,10002,28.0,02G,12.0,B,2012-06-22 00:00:00,1,"(40.7135097, -73.9859414)"
170368,317095,10002,28.0,04H,23.0,,,1,"(40.7135097, -73.9859414)"
170369,317096,10002,28.0,10F,19.0,,,1,"(40.7135097, -73.9859414)"
170370,317262,10002,20.0,06A,15.0,,,1,"(40.7135097, -73.9859414)"
170371,317263,10002,20.0,10B,17.0,,,1,"(40.7135097, -73.9859414)"
170372,317264,10002,20.0,22C,17.0,,,1,"(40.7135097, -73.9859414)"
170373,317265,10002,20.0,08A,22.0,,,1,"(40.7135097, -73.9859414)"
170374,317266,10002,20.0,08A,18.0,,,1,"(40.7135097, -73.9859414)"
